TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,t_s
2521829590,0,3,397628399,2382,13,0.79,41.6066903,-86.35604239999999,238.54,0.19842632114887238,3.7564523220062256,1.5440000295639038,0.0,0,2521.83
2521829604,1,3,397628399,2382,13,0.79,41.6066996,-86.3560514,236.59,0.05375872179865837,251.5650634765625,1.409000039100647,0.0,1,2521.83
2522029604,0,3,397628599,2382,13,0.79,41.6066905,-86.3560425,238.20000000000002,0.09783659875392914,319.1446228027344,1.5500000715255737,0.0,0,2522.03
2522029650,1,3,397628599,2382,13,0.79,41.6066996,-86.3560516,236.29,0.08949301391839981,341.76751708984375,1.4470000267028809,0.0,1,2522.03
2522229678,0,3,397628799,2382,13,0.79,41.6066906,-86.35604269999999,237.93,0.10124228149652481,343.3549499511719,1.5410001277923584,0.0,0,2522.23
2522229691,1,3,397628799,2382,13,0.79,41.6066996,-86.35605149999999,235.97,0.17785951495170593,125.38787841796875,1.4380000829696655,0.0,1,2522.23
2522429777,0,3,397628999,2382,13,0.79,41.606690799999996,-86.35604289999999,237.63,0.14263591170310974,324.4156188964844,1.3650000095367432,0.0,0,2522.43
2522429791,1,3,397628999,2382,13,0.79,41.606699299999995,-86.35605129999999,235.68,0.11624974012374878,144.80609130859375,1.2970000505447388,0.0,1,2522.43
2522629700,0,3,397629199,2382,13,0.79,41.606691,-86.356043,237.37,0.107079416513443,348.6900634765625,1.1990000009536743,0.0,0,2522.63
2522629714,1,3,397629199,2382,13,0.79,41.606699299999995,-86.3560511,235.44,0.16868017613887787,35.10332489013672,1.059000015258789,0.0,1,2522.63
2522829691,0,3,397629399,2382,13,0.79,41.6066912,-86.3560435,237.16,0.2759438455104828,291.9170837402344,0.8350000381469727,0.0,0,2522.83
2522829704,1,3,397629399,2382,13,0.79,41.6066994,-86.35605079999999,235.25,0.20905980467796326,101.30992126464844,0.7610000371932983,0.0,1,2522.83
2523029592,0,3,397629599,2382,13,0.79,41.6066915,-86.356044,237.0,0.320062518119812,311.9606018066406,0.4830000102519989,0.0,0,2523.03
2523029609,1,3,397629599,2382,13,0.79,41.606699299999995,-86.3560505,235.1,0.13815933465957642,67.89054870605469,0.5879999995231628,0.0,1,2523.03
2523229677,0,3,397629799,2382,13,0.79,41.6066918,-86.35604409999999,236.99,0.2324177324771881,23.58702850341797,0.2980000078678131,0.0,0,2523.23
2523229690,1,3,397629799,2382,13,0.79,41.6066995,-86.3560505,235.01,0.2544896900653839,332.6294250488281,0.2639999985694885,0.0,1,2523.23
2523429589,0,3,397629999,2382,13,0.79,41.606691999999995,-86.35604409999999,236.94,0.24686232209205627,296.4612731933594,0.1720000058412552,0.0,0,2523.43
2523429616,1,3,397629999,2382,13,0.79,41.6066997,-86.35605079999999,234.96,0.08823832124471664,321.44158935546875,0.11800000816583633,0.0,1,2523.43
2523629614,0,3,397630199,2382,13,0.79,41.606691999999995,-86.356044,236.97,0.09160786122083664,323.88067626953125,0.1770000010728836,0.0,0,2523.63
2523629627,1,3,397630199,2382,13,0.79,41.606699899999995,-86.3560509,234.93,0.13267254829406738,350.8926696777344,0.1300000101327896,0.0,1,2523.63
2523829664,0,3,397630399,2382,13,0.79,41.606691999999995,-86.3560438,236.98000000000002,0.12214745581150055,357.1844482421875,0.17500001192092896,0.0,0,2523.83
2523829681,1,3,397630399,2382,13,0.79,41.6067001,-86.3560511,234.9,0.16273291409015656,313.0079040527344,0.15300001204013824,0.0,1,2523.83
