TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,t_s
60282915,-2.682209014892578e-07,-3.6831693250860553e-10,0.0,0.17597077786922455,0.005402516573667526,0.005402516573667526,0.7000000000000001,nan,0.0,nan,-2,-2,60.283
60382894,-2.682209014892578e-07,-3.6854430618404876e-10,0.0,0.17597077786922455,0.003527771681547165,0.003527771681547165,0.6900000000000001,nan,0.0,nan,-2,-2,60.383
60482995,-2.682209014892578e-07,-3.682316673803143e-10,0.0,0.17597077786922455,0.0016071312129497528,0.0016071312129497528,0.59,nan,0.0,nan,-3,-3,60.483
60582980,-2.682209014892578e-07,-3.6834535421803594e-10,0.0,0.17597077786922455,0.0005186907947063446,0.0005186907947063446,0.63,nan,0.0,nan,-2,-2,60.583
60683003,-2.682209014892578e-07,-3.732338882400654e-10,0.0,0.17597077786922455,-0.0006644017994403839,-0.0006644017994403839,0.71,nan,0.0,nan,-2,-2,60.683
60782933,-2.682209014892578e-07,-3.74541286873864e-10,0.0,0.17597077786922455,-0.001345265656709671,-0.001345265656709671,0.52,nan,0.0,nan,-3,-3,60.783
60882932,-2.682209014892578e-07,-3.546460902725812e-10,0.0,0.17597077786922455,-0.0012275464832782745,-0.0012275464832782745,0.51,nan,0.0,nan,-2,-2,60.883
60982905,-2.682209014892578e-07,-3.1400304578710347e-10,0.0,0.17597077786922455,-0.00044618919491767883,-0.00044618919491767883,0.61,nan,0.0,nan,-4,-4,60.983
61083026,-2.682209014892578e-07,-2.9956481739645824e-10,0.0,0.17597077786922455,-0.002182651311159134,-0.002182651311159134,0.38,nan,0.0,nan,0,0,61.083
61182954,-2.682209014892578e-07,-3.410036697459873e-10,0.0,0.17597077786922455,-0.0046363952569663525,-0.0046363952569663525,0.5700000000000001,nan,0.0,nan,-4,-4,61.183
61282937,-2.682209014892578e-07,-3.468016984697897e-10,0.0,0.17597077786922455,-0.00892733410000801,-0.00892733410000801,0.79,nan,0.0,nan,0,0,61.283
61383035,-2.682209014892578e-07,-3.2088109946926124e-10,0.0,0.17597077786922455,-0.013031590729951859,-0.013031590729951859,0.46,nan,0.0,nan,-3,-3,61.383
61482911,-2.682209014892578e-07,-3.071818355238065e-10,0.0,0.17597077786922455,-0.01681600883603096,-0.01681600883603096,0.52,nan,0.0,nan,0,0,61.483
61582910,-2.682209014892578e-07,-3.135198767267866e-10,0.0,0.17597077786922455,-0.020682739093899727,-0.020682739093899727,0.49,nan,0.0,nan,-3,-3,61.583
61683055,-2.682209014892578e-07,-3.4501113077567425e-10,0.0,0.17597077786922455,-0.024998949840664864,-0.024998949840664864,0.47000000000000003,nan,0.0,nan,-1,-1,61.683
61782933,-2.682209014892578e-07,-3.6479264053923544e-10,0.0,0.17597077786922455,-0.025266455486416817,-0.025266455486416817,0.59,nan,0.0,nan,-2,-2,61.783
61882916,-2.682209014892578e-07,-3.8551206671399996e-10,0.0,0.17597077786922455,-0.028002904728055,-0.028002904728055,0.5,nan,0.0,nan,-2,-2,61.883
61982911,-2.682209014892578e-07,-3.72921249436331e-10,0.0,0.17597077786922455,-0.03235577419400215,-0.03235577419400215,0.8,nan,0.0,nan,-2,-2,61.983
62083017,-2.682209014892578e-07,-3.602167453209404e-10,0.0,0.17597077786922455,-0.036910105496644974,-0.036910105496644974,0.8,nan,0.0,nan,-2,-2,62.083
62182933,-2.682209014892578e-07,-3.7130121199879795e-10,0.0,0.17597077786922455,-0.040260959416627884,-0.040260959416627884,0.8200000000000001,nan,0.0,nan,-2,-2,62.183
62283031,-2.682209014892578e-07,-3.830677997029852e-10,0.0,0.17597077786922455,-0.0424182303249836,-0.0424182303249836,0.72,nan,0.0,nan,-3,-3,62.283
62382946,-2.682209014892578e-07,-3.750528776436113e-10,0.0,0.17597077786922455,-0.04320632293820381,-0.04320632293820381,0.72,nan,0.0,nan,-1,-1,62.383
62483002,-2.682209014892578e-07,-3.355751232447801e-10,0.0,0.17597077786922455,-0.04403262212872505,-0.04403262212872505,0.55,nan,0.0,nan,-1,-1,62.483
62583030,-2.682209014892578e-07,-3.141167326248251e-10,0.0,0.17597077786922455,-0.04490773752331734,-0.04490773752331734,0.64,nan,0.0,nan,-1,-1,62.583
62683033,-2.682209014892578e-07,-3.3026026358129457e-10,0.0,0.17597077786922455,-0.04510979726910591,-0.04510979726910591,0.37,nan,0.0,nan,-4,-4,62.683
