TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,t_s
57482906,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.483
57582748,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.583
57582768,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.583
57682765,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.683
57682783,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.683
57782778,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.783
57782796,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.783
57882751,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.883
57882837,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.883
57982767,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.983
57982845,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.983
58082825,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.083
58082874,1,48.78125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,58.083
58182806,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.183
58182823,1,48.78125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,58.183
58282835,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.283
58282854,1,48.78125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,58.283
58382754,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.383
58382776,1,48.78125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,58.383
58482780,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.483
58482795,1,48.78125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,58.483
58582788,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.583
58582803,1,48.78125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,58.583
58682790,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.683
58682808,1,48.78125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,58.683
58782781,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.783
58782828,1,48.78125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,58.783
58882775,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,58.883
58882795,1,48.78125,0.0,-0.0,2353.2724609375,104.5,23.1,0.0,85,58.883
